abolishing	ابطال
abolition	ابطال
abraham	ابراہیم
acquiring_fullness	ابھار
act_of_vomiting	ابکائی
admonisher	اپدیشک
advisor	اپدیشک
affliction	ابتلا
allegiance	اتباع
ancestors	آبا
anger	ابال
annihilation	ابطال
appeal	اپیل
april	اپریل
at_first	ابتداءً
author	ابو
autograph	آٹو گراف
automatic	آٹومیٹک
bashful	ابلہ
basis	آثار
bear_away	ابھارنا
beginning	ابتدا
beyond	ات
birth	ابتدا
black_and_ill-featured	آبنوسی
black_and_white	ابلق
blister	آبلہ
boiling	ابال
bottle	آبگینہ
breadth_of_a_wall	آثار
burst_of_passion	ابال
carelessness_in_preserving_anything	ابتذال
carry_off	ابھارنا
causing_to_arrive	ابلاغ
character	آبرو
cheerfulness	ابتسام
child	ابن
city	آباد
cloud	ابر
colony	آبادی
combination	اتحاد
commencement	ابتدا
compact	اتحاد
concord	اتحاد
confusion	ابتری
confuting	ابطال
conveying	ابلاغ
criminal	آثم
cultivated_place	آبادی
decay	ابتری
defective	ابتر
destitute	ابتر
deteriorated	ابتر
deterioration	ابتری
developing	ابھار
devil	ابلیس
devil	ابلیسی
diamond	آبگینہ
didactic	اپدیشک
disarranged	ابتر
disobedient	ابس
disorder	ابتری
disorganization	ابتری
doing_what_is_unlawful	آثم
drinking-glass	آبگینہ
dutiful	ابرار
each_other	آپس
ebullition	ابال
eight	آٹھ
elder_sister	آپا
elegance	آبرو
endless_time	ابد
eternal	ابدی
eternity	ابد
eternity	ابدیت
everlasting	ابدی
ewer	ابریق
excessively	ات
excite	ابھارنا
exordium	ابتدا
false	ابتر
family_relations	اپنایت
father	آبا
father	ابو
fidelity	اتباع
firstly	ابتداءً
foam	اتارنا
following	اتباع
folly	ابلہی
foolish	ابلہ
foolishness	ابلہی
foundation	آثار
friendship	اپنایت
further	ابعد
furthest	ابعد
gaiety	ابتسام
giving_liberty	اباحت
grey	ابلق
guiltless	اپاپ
helpless	ابس
honour	آبرو
ignorant	ابلہ
immortal	ابدی
immortality	ابدیت
imperfect	ابتر
in_disorder	ابتر
in_subjection_to_another	ابس
in_the_beginning	ابتداءً
in_the_first_place	ابتداءً
incite	ابھارنا
induce	ابھارنا
inhabited_spot_or_place	آبادی
innocent	اپاپ
instigate	ابھارنا
instructing	اپدیشک
instructive	اپدیشک
instructor	اپدیشک
intimacy	اپنایت
intimate_friendship	اتحاد
introductory	ابتدائی
invention.	ابداع
just_holy	ابرار
kidnap	ابھارنا
kinsfolk	اپنایت
kinship	اپنایت
kith_and_kin	اپنایت
league	اتحاد
least	اتار
liberate	ابھارنا
lift	ابھارنا
looking-glass	آبگینہ
looks	ابصار
lowest	اتار
marbled_paper	ابر
meanness	ابتذال
mere	ابخل
mirror	آبگینہ
miserable	ابتر
misfortune	ابتلا
mismanagement	ابتری
more	ابعد
most	ابعد
most_inferior	اتار
name_of_a_poet.	آبرو
not_under_control	ابس
obedience	اتباع
obeying	اتباع
one_another	آپس
operator	آپریٹر
origin	آثار
origin	ابتدا
originator	ابو
party-coloured	ابلق
pepper-and-salt	ابلق
perception	ابصار
permission	اباحت
permitting	اباحت
persuade	ابھارنا
piebald	ابلق
pious_men	ابرار
plump_up	ابھارنا
plumpness	ابھار
poor	ابتر
population	آبادی
poverty	ابتری
powerless	ابس
preacher	اپدیشک
prefatory	ابتدائی
preliminary	ابتدائی
primary	ابتدائی
prior	ابتدائی
production_of_something_new	ابداع
production_of_something_new.	ابدا
prominence	ابھار
prospective_eternity	ابد
proving__false	ابطال
pustule	آبلہ
rage	ابال
raw_silk	ابریشم
refutation	ابطال
refuting	ابطال
relationship	اپنایت
release	ابھارنا
rendering_null	ابطال
renown	آبرو
repulsive	آبنوسی
rescue	ابھارنا
rise	ابتدا
rising	ابھار
ruin	ابتری
ruined	ابتر
run_away_with	ابھارنا
saints	ابرار
satan	ابلیس
self	آپا
selves	آپس
sending	ابلاغ
servitude	ابتذال
set_free	ابھارنا
sewing_silk	ابریشم
silk	ابریشم
silliness	ابلہی
silly	ابلہ
simple	ابلہ
sinless	اپاپ
sinner	آثم
sinning	آثم
smile	ابتسام
smiling	ابتسام
son	ابن
source	ابتدا
spoiled	ابتر
spotted	ابلق
stir_up	ابھارنا
suffering	ابتلا
swallow	ابابیل
swelling	ابھار
to_become_false	ابطال
to_boil	ابالنا
to_discharge	ابھارنا
to_float.	اتارنا
to_froth	اتارنا
to_make_boil	ابالنا
to_raise_up	ابھارنا
to_remove	ابھارنا
to_rouse	ابھارنا
to_save	ابھارنا
to_steal	ابھارنا
to_take_up	ابھارنا
to_unlade	ابھارنا
too_great	ات
town	آباد
treaty	اتحاد
trial	ابتلا
understanding	ابصار
union	اتحاد
unrestrained	ابس
unship	ابھارنا
unsubdued	ابس
unsubmissive_to_anothers_will	ابس
up_to_date	اپ ٹو ڈیٹ
vain	ابطال
very_distant_or_remote	ابعد
very_great	ات
very_greatly	ات
very_much	ات
vessel_or_water_pot	ابریق
views	ابصار
vileness	ابتذال
vitiated	ابتر
wine	آبگینہ
without_choice.	ابس
without_end	ابدی
worth_less_ness	ابتری
worthless	ابتر
wretchedness	ابتری
